#,Tipo,Categoria,Nombre
1,Input,CustomMade,CustomLiteXD
2,Input,Database,Jdbc
3,Input,Database,Postgres
4,Input,Database,SQL
5,Input,Python,PySpark
6,Input,StructuredFile,Delta
7,Input,StructuredFile,Parquet
8,Input,StructuredFile,Json
9,Input,UnstructuredFile,Csv
10,Input,UnstructuredFile,Filesystem
11,Transformation,ColumnOperation,AddColumns
12,Transformation,ColumnOperation,DropColumns
13,Transformation,ColumnOperation,RenameColumns
14,Transformation,CustomMade,CustomLiteXD
15,Transformation,Optimization,Coalese
16,Transformation,Optimization,Persist
17,Transformation,Optimization,Repartition
18,Transformation,Other,Bypass
19,Transformation,Python,PySpark
20,Transformation,SQL,Trigger
21,Output,CustomMade,CustomLiteXD
22,Output,Database,Jdbc
23,Output,Database,Postgress
24,Output,Database,Sftp
25,Output,Other,RunWorkflow
26,Output,Other,Print
27,Output,Python,PySpark
28,Output,StructuredFile,Delta
29,Output,StructuredFile,Json
30,Output,StructuredFile,Parquet
31,Output,UnstructuredFile,Csv
32,Output,UnstructuredFile,Text
